Samples,206341_at,211269_s_at
Yeast (background).1,-1.108,2.248
Yeast (background).2,0.691,3.003
Accumbens.1,-0.81,0.191
Accumbens.2,0.131,1.366
Adipose tissue.1,-0.762,-2.022
Adipose tissue.2,0.034,-0.709
Adipose tissue omental.1,-0.527,0.871
Adipose tissue omental.2,-0.274,1.804
Adrenal cortex.1,-0.518,-0.235
Adrenal cortex.2,0.278,0.767
Airway epithelial cells.1,-0.724,-2.245
Airway epithelial cells.2,0.289,-1.139
Alveolar macrophages.1,-0.509,-1.396
Alveolar macrophages.2,1.735,1.368
Amniotic fluid.1,-0.446,0.082
Amniotic fluid.2,0.206,0.635
Amygdala.1,-1.135,0.131
Amygdala.2,-0.447,1.099
Astrocytes.1,-1.611,-1.66
Astrocytes.2,0.126,-0.07
Blood.1,0.108,-0.239
Blood.2,1.556,1.143
Bone marrow.1,-0.234,0.518
Bone marrow.2,0.092,1.831
Breast.1,-0.713,-1.94
Breast.2,0.083,-0.558
Breast ductal cells.1,-1.129,-0.606
Breast ductal cells.2,-0.478,0.741
Breast epithelial cells.1,-1.209,-3.316
Breast epithelial cells.2,-0.593,-3.075
Breast lobular cells.1,-1.17,-0.618
Breast lobular cells.2,-0.265,0.799
Breast stroma.1,-1.061,-0.651
Breast stroma.2,0.821,2.045
Bronchial epithelial cells.1,-0.977,-2.419
Bronchial epithelial cells.2,-0.361,-1.175
Bronchus.1,-0.498,0.198
Bronchus.2,-0.425,0.613
Cd14+ monocytes.1,-0.555,-1.18
Cd14+ monocytes.2,0.096,-0.247
Cd3+ t cells.1,2.992,0.95
Cd3+ t cells.2,4.874,2.471
Cd31+ cells.1,3.281,3.533
Cd31+ cells.2,8.637,8.233
Cd34+ cells.1,-0.909,-2.2
Cd34+ cells.2,-0.258,-1.371
Cd4+ t cells.1,4.349,3.915
Cd4+ t cells.2,6.593,6.126
Cd4+cd25+high regulatory t cells.1,4.667,3.108
Cd4+cd25+high regulatory t cells.2,11.254,8.844
Cd49a+ cells.1,-1.208,-1.334
Cd49a+ cells.2,0.529,0.187
Cecum.1,0.066,0.044
Cecum.2,0.573,1.979
Centroblasts.1,-1.194,-2.051
Centroblasts.2,0.905,0.438
Centrocytes.1,-0.995,-1.494
Centrocytes.2,-0.416,2.445
Cerebellum.1,-1.128,-0.206
Cerebellum.2,-0.332,0.831
Cerebral cortex.1,-1.285,-0.299
Cerebral cortex.2,-0.127,0.737
Cervix.1,-0.497,-1.1
Cervix.2,-0.28,2.424
Chorion villus cells.1,-0.724,-1.517
Chorion villus cells.2,0.362,-1.378
Colon.1,-0.57,-0.573
Colon.2,0.697,1.5
Colonic mucosa.1,-0.148,-1.239
Colonic mucosa.2,1.227,0.558
Coronary artery.1,-0.736,1.386
Coronary artery.2,0.35,1.662
Corpus callosum.1,-0.946,0.03
Corpus callosum.2,-0.367,1.62
Cultured endothelial progenitor cells.1,2.746,11.273
Cultured endothelial progenitor cells.2,7.414,13.312
Deltoid muscle.1,-0.254,0.102
Deltoid muscle.2,0.868,0.966
Dorsal root ganglia.1,-1.273,-0.069
Dorsal root ganglia.2,-0.26,1.486
Endometrial endothelial cell.1,-1.201,-2.166
Endometrial endothelial cell.2,-0.26,-1.544
Endometrium.1,-0.701,-1.173
Endometrium.2,0.022,-0.067
Entorhinal cortex.1,-1.287,-1.207
Entorhinal cortex.2,-0.491,-0.033
Entorhinal cortex layer ii stellate island cells.1,-1.223,0.954
Entorhinal cortex layer ii stellate island cells.2,0.007,2.164
Epididymis corpus.1,-1.217,-2.163
Epididymis corpus.2,-1.0,-0.988
Esophagus.1,-1.3,0.106
Esophagus.2,-0.721,0.659
Fallopian tube epithelium.1,-1.499,-3.899
Fallopian tube epithelium.2,-0.449,-2.655
Fetal cartilage.1,-0.642,-1.931
Fetal cartilage.2,0.769,-0.964
Frontal lobe.1,-0.824,0.191
Frontal lobe.2,-0.245,1.366
Gingival epithelium.1,-0.591,0.51
Gingival epithelium.2,0.205,2.445
Head and neck epithelial cells.1,-1.106,2.323
Head and neck epithelial cells.2,-0.744,3.359
Heart atrium.1,-0.422,1.012
Heart atrium.2,0.085,1.151
Hippocampus.1,-1.208,-1.739
Hippocampus.2,-0.448,0.196
Hypothalamus.1,-0.959,-0.246
Hypothalamus.2,-0.38,1.966
Kidney.1,-1.127,-0.985
Kidney.2,-0.114,1.4
Kidney cortex.1,-1.123,-0.017
Kidney cortex.2,-0.508,0.502
Kidney medulla.1,-1.041,0.112
Kidney medulla.2,-0.932,0.699
Liver.1,-0.72,-0.914
Liver.2,-0.032,1.539
Lung.1,-0.578,-0.908
Lung.2,0.436,-0.286
Lymph nodes.1,1.195,1.036
Lymph nodes.2,3.692,1.243
Lymphocytes.1,1.334,-0.338
Lymphocytes.2,3.65,2.012
Mammary gland.1,-0.777,-1.895
Mammary gland.2,-0.488,1.215
Medial temporal gyrus.1,-0.106,-3.817
Medial temporal gyrus.2,1.233,-1.432
Medulla.1,-0.933,-0.12
Medulla.2,-0.137,1.677
Memory b cells.1,-0.42,0.194
Memory b cells.2,1.498,1.852
Mesenchymal stem cells.1,-0.704,-2.5
Mesenchymal stem cells.2,-0.414,-1.118
Midbrain.1,-1.142,0.505
Midbrain.2,-0.563,3.615
Monocytes.1,-0.18,-1.361
Monocytes.2,0.942,-0.601
Myometrium.1,-1.066,-1.384
Myometrium.2,-0.052,0.517
Naive b cells.1,-0.176,-0.698
Naive b cells.2,0.62,-0.076
Naive cd4+ t cells.1,-0.262,-0.22
Naive cd4+ t cells.2,1.439,1.404
Nasopharyngeal epithelial cells.1,-0.776,1.805
Nasopharyngeal epithelial cells.2,-0.342,2.945
Neurons.1,-1.139,0.468
Neurons.2,2.046,1.228
Neutrophils.1,-0.247,-0.557
Neutrophils.2,0.984,0.203
Nipple cross section.1,-0.622,-0.708
Nipple cross section.2,0.138,0.19
Nodose nucleus.1,-0.856,0.266
